Date,Ticker,% Drop,Open,Close,Recovery Date 50%,Recovery Date 75%,Recovery Date 90%,Best Recovery % Achieved,Recovery Quality,Headline Tags,Headline Link
2025-01-02,AJG,-3.33,284.84,275.36,2025-01-08,2025-01-08,2025-01-08,2.2,Full Recovery (90%+),unknown,unknown
2025-01-02,BA,-3.61,178.31,171.87,2025-01-21,2025-01-23,2025-01-23,1.03,Full Recovery (90%+),unknown,unknown
2025-01-02,CZR,-3.18,33.66,32.59,2025-01-06,2025-01-17,2025-01-17,1.87,Full Recovery (90%+),unknown,unknown
2025-01-02,GM,-3.66,53.18,51.24,2025-01-06,2025-01-06,2025-01-06,1.46,Full Recovery (90%+),unknown,unknown
2025-01-02,MGM,-3.53,34.89,33.66,,,,0.35,Poor Recovery (<50%),unknown,unknown
2025-01-02,MHK,-3.7,120.37,115.92,2025-01-08,2025-01-13,2025-01-13,3.35,Full Recovery (90%+),unknown,unknown
2025-01-02,NKE,-3.38,75.87,73.3,,,,0.24,Poor Recovery (<50%),unknown,unknown
2025-01-02,ON,-3.29,63.81,61.71,2025-01-03,2025-01-03,2025-01-03,1.33,Full Recovery (90%+),unknown,unknown
2025-01-02,PPG,-3.08,118.4,114.75,2025-01-15,2025-01-16,2025-01-16,2.2,Full Recovery (90%+),unknown,unknown
2025-01-02,WDAY,-3.39,260.68,251.84,2025-01-24,,,0.73,Partial Recovery (50-75%),unknown,unknown
2025-01-03,BBY,-3.3,85.38,82.57,2025-01-23,,,0.71,Partial Recovery (50-75%),unknown,unknown
2025-01-03,DLTR,-4.71,76.99,73.36,2025-01-06,2025-01-06,,0.9,Good Recovery (75-90%),unknown,unknown
2025-01-06,AVB,-3.72,219.19,211.04,2025-01-14,2025-01-21,2025-01-27,0.92,Full Recovery (90%+),unknown,unknown
2025-01-06,AXON,-5.57,604.4,570.71,2025-01-17,2025-01-21,2025-01-21,1.98,Full Recovery (90%+),unknown,unknown
2025-01-06,BXP,-3.5,73.52,70.95,2025-01-21,2025-01-21,2025-01-27,1.0,Full Recovery (90%+),unknown,unknown
2025-01-06,DPZ,-3.69,438.96,422.78,2025-01-21,2025-01-21,2025-01-21,1.43,Full Recovery (90%+),unknown,unknown
2025-01-06,ENPH,-4.21,74.52,71.38,2025-01-07,,,0.68,Partial Recovery (50-75%),unknown,unknown
2025-01-06,EQR,-3.19,69.95,67.73,2025-01-14,2025-01-16,,0.83,Good Recovery (75-90%),unknown,unknown
2025-01-06,ESS,-3.22,279.49,270.5,2025-01-13,2025-01-13,2025-01-13,1.37,Full Recovery (90%+),unknown,unknown
2025-01-06,GIS,-3.2,62.25,60.27,,,,0.37,Poor Recovery (<50%),unknown,unknown
2025-01-06,INTC,-4.61,20.83,19.87,2025-01-17,2025-01-17,2025-01-17,2.07,Full Recovery (90%+),unknown,unknown
2025-01-06,KIM,-3.67,22.92,22.08,2025-01-24,2025-01-27,2025-01-27,1.28,Full Recovery (90%+),unknown,unknown
2025-01-06,LW,-4.16,65.4,62.67,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-06,MAA,-3.06,151.49,146.85,2025-01-16,2025-01-27,2025-01-27,1.14,Full Recovery (90%+),unknown,unknown
2025-01-06,MRNA,-3.25,44.0,42.57,2025-01-07,2025-01-07,2025-01-07,3.47,Full Recovery (90%+),unknown,unknown
2025-01-06,PLTR,-3.52,78.69,75.92,2025-01-23,2025-01-23,2025-01-23,1.56,Full Recovery (90%+),unknown,unknown
2025-01-06,SRE,-3.22,86.53,83.74,2025-01-21,,,0.71,Partial Recovery (50-75%),unknown,unknown
2025-01-06,UDR,-3.58,42.14,40.63,,,,0.41,Poor Recovery (<50%),unknown,unknown
2025-01-07,ANET,-3.68,119.69,115.29,2025-01-16,2025-01-17,2025-01-17,3.3,Full Recovery (90%+),unknown,unknown
2025-01-07,APO,-4.44,169.52,161.99,2025-01-17,2025-01-21,2025-01-23,1.27,Full Recovery (90%+),unknown,unknown
2025-01-07,AVGO,-4.53,238.78,227.95,2025-01-17,2025-01-17,2025-01-21,1.48,Full Recovery (90%+),unknown,unknown
2025-01-07,CPT,-3.3,113.09,109.36,2025-01-14,2025-01-27,2025-01-27,0.98,Full Recovery (90%+),unknown,unknown
2025-01-07,DASH,-3.38,175.95,170.0,2025-01-08,2025-01-17,2025-01-21,2.65,Full Recovery (90%+),unknown,unknown
2025-01-07,DAY,-3.64,73.92,71.23,2025-01-28,2025-01-28,2025-01-28,1.06,Full Recovery (90%+),unknown,unknown
2025-01-07,DELL,-3.43,124.28,120.02,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-07,GM,-3.2,53.56,51.85,2025-01-21,2025-01-21,2025-01-21,1.71,Full Recovery (90%+),unknown,unknown
2025-01-07,HPE,-3.34,22.87,22.1,2025-01-15,2025-01-15,2025-01-15,2.78,Full Recovery (90%+),unknown,unknown
2025-01-07,IRM,-3.06,102.93,99.78,2025-01-08,2025-01-14,2025-01-14,3.34,Full Recovery (90%+),unknown,unknown
2025-01-07,LUV,-3.15,33.75,32.69,,,,0.36,Poor Recovery (<50%),unknown,unknown
2025-01-07,NVDA,-8.42,153.02,140.13,2025-01-22,,,0.55,Partial Recovery (50-75%),unknown,unknown
2025-01-07,ON,-3.16,64.78,62.73,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-07,PLTR,-6.93,75.2,69.99,2025-01-21,2025-01-22,2025-01-22,1.97,Full Recovery (90%+),unknown,unknown
2025-01-07,SCHW,-3.63,74.73,72.02,2025-01-15,2025-01-16,2025-01-16,3.78,Full Recovery (90%+),unknown,unknown
2025-01-07,SMCI,-5.39,36.34,34.38,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-07,TTWO,-3.37,188.09,181.75,2025-01-17,2025-01-22,2025-01-22,1.32,Full Recovery (90%+),unknown,unknown
2025-01-07,UBER,-3.42,68.49,66.15,2025-01-16,2025-01-16,2025-01-16,1.12,Full Recovery (90%+),unknown,unknown
2025-01-07,ULTA,-4.83,450.02,428.27,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-08,AES,-3.2,12.61,12.21,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-08,CEG,-4.57,255.03,243.38,2025-01-10,2025-01-10,2025-01-10,8.88,Full Recovery (90%+),unknown,unknown
2025-01-08,DLTR,-3.38,74.49,71.97,2025-01-21,2025-01-27,2025-01-27,1.18,Full Recovery (90%+),unknown,unknown
2025-01-08,EIX,-8.26,74.61,68.45,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-08,MRNA,-9.31,47.6,43.17,,,,0.4,Poor Recovery (<50%),unknown,unknown
2025-01-08,MU,-3.32,102.69,99.28,2025-01-15,2025-01-15,2025-01-15,2.92,Full Recovery (90%+),unknown,unknown
2025-01-08,ON,-6.57,62.41,58.31,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-08,SMCI,-4.0,33.97,32.61,2025-01-22,2025-01-22,2025-01-22,0.92,Full Recovery (90%+),unknown,unknown
2025-01-08,WBD,-4.28,10.51,10.06,2025-01-27,2025-01-27,2025-01-27,1.24,Full Recovery (90%+),unknown,unknown
2025-01-10,AKAM,-3.7,92.35,88.93,2025-01-17,2025-01-21,2025-01-21,3.67,Full Recovery (90%+),unknown,unknown
2025-01-10,ALL,-4.05,187.68,180.09,2025-01-14,2025-01-14,2025-01-15,1.68,Full Recovery (90%+),unknown,unknown
2025-01-10,BF-B,-3.59,34.9,33.65,2025-01-27,,,0.5,Partial Recovery (50-75%),unknown,unknown
2025-01-10,BX,-3.97,170.22,163.46,2025-01-14,2025-01-15,2025-01-15,3.21,Full Recovery (90%+),unknown,unknown
